Localisation;Type de poste;Nombre d'ordinateurs;position
Médiathèque Musicale de Paris;Poste Adulte;5;48.86306045, 2.34573014115
Claire Bretécher (ex-Lancry);Poste Adulte;3;48.8719649, 2.3626033
Vandamme;Poste Adulte;6;48.8386225, 2.3218739
Françoise Sagan;Poste de passage Adulte;3;48.875818, 2.353533
Georges Brassens;Poste de passage Adulte;2;48.8350219, 2.3268861
Germaine Tillion;Poste Adulte;10;48.8618192, 2.2847432
Vandamme;Poste Jeunesse;3;48.8386225, 2.3218739
Violette Leduc;Catalogue;2;48.8515962, 2.3839448
Violette Leduc;Poste de passage Adulte;4;48.8515962, 2.3839448
Claire Bretécher (ex-Lancry);Poste Jeunesse;1;48.8719649, 2.3626033
Marguerite Duras;Poste animation;16;48.859817, 2.4032053
Bibliothèque du Cinéma - François Truffaut;Poste chercheur;6;48.8623059, 2.3436367
Vaclav Havel;Poste de passage Adulte;2;48.8890032, 2.362957
Saint-Eloi;Poste de passage Adulte;3;48.8455293, 2.3871246
Germaine Tillion;Catalogue;8;48.8618192, 2.2847432
Marguerite Yourcenar;Poste Adulte;15;48.8367728, 2.3036789
Valeyre;Catalogue;2;48.8779745, 2.3450099
Assia Djebar;Poste animation;1;48.8492765, 2.412011600000028
Jacqueline Dreyfus-Weill;Poste Jeunesse;1;48.8762706, 2.3881083
Rainer Maria Rilke;Poste Adulte;8;48.8392527, 2.3383332
Germaine Tillion;Poste Jeunesse;4;48.8618192, 2.2847432
Canopée;Poste de passage Adulte;2;48.862069, 2.346907
Batignolles;Poste animation;1;48.8844441, 2.3219036
Courcelles;Poste de passage Jeunesse;1;48.8778252, 2.3029806
Valeyre;Poste Jeunesse;3;48.8779745, 2.3450099
Andrée Chedid;Poste de passage Jeunesse;2;48.849937, 2.2864279
Edmond Rostand;Poste animation;3;48.8883086, 2.3027261
Oscar Wilde;Poste de passage Adulte;2;48.8719634, 2.3998434
Place des fêtes;Poste Adulte;3;48.8793551, 2.3975049
Amélie;Catalogue;2;48.8580602, 2.3089956
Colette Vivier;Catalogue;1;48.8897366, 2.3197217
Parmentier;Catalogue;6;48.8591443, 2.3794671
Glacière - Marina Tsvetaïeva;Poste de passage Adulte;1;48.8311087, 2.3442413
Amélie;Poste de passage Jeunesse;1;48.8580602, 2.3089956
Charlotte Delbo;Poste Adulte;5;48.8665015, 2.3404242
Crimée;Poste Jeunesse;4;48.8848913, 2.3830431
Mohammed Arkoun;Catalogue;7;48.8424926, 2.3496874
Centre de Documentation sur les métiers du Livre;Poste chercheur;2;48.8419904, 2.3591175
Couronnes - Naguib Mahfouz;Poste Jeunesse;2;48.8718064, 2.3893099
Jacqueline de Romilly;Poste Jeunesse;3;48.8993441, 2.3361773
Louise Walser-Gaillard;Poste de passage Jeunesse;1;48.8811111, 2.3323039
Marguerite Audoux;Poste de passage Adulte;2;48.863631, 2.3600893
Aimé Césaire;Catalogue;3;48.8320357, 2.310555
Charlotte Delbo;Catalogue;2;48.8665015, 2.3404242
Claude Lévi-Strauss;Poste animation Adulte;4;48.8873166, 2.3724595
Buffon;Poste de passage Adulte;3;48.8419904, 2.3591175
Drouot;Catalogue;1;48.8733839, 2.3404653
Glacière - Marina Tsvetaïeva;Catalogue;3;48.8311087, 2.3442413
Louise Michel;Poste Adulte et Jeunesse;6;48.8531576, 2.4010184
Louise Walser-Gaillard;Poste Adulte et Jeunesse;16;48.8811111, 2.3323039
Hergé;Catalogue;2;48.8848773, 2.3674171
Vandamme;Poste de passage Adulte;2;48.8386225, 2.3218739
Maurice Genevoix;Catalogue;1;48.894909, 2.3637139
Bibliothèque Forney;Catalogue;12;48.8534255, 2.3591918
Marguerite Yourcenar;Poste de passage Adulte;8;48.8367728, 2.3036789
Musset;Catalogue;1;48.8415767, 2.2657172
François Villon;Poste Jeunesse;4;48.8772091, 2.3708098
Place des fêtes;Poste de passage Adulte;1;48.8793551, 2.3975049
L'Heure Joyeuse;Poste de passage Adulte;1;48.8521289, 2.3452233
Mohammed Arkoun;Poste Adulte;9;48.8424926, 2.3496874
Couronnes - Naguib Mahfouz;Catalogue;2;48.8718064, 2.3893099
Saint-Simon;Poste Adulte et Jeunesse;3;48.8568598, 2.3200325
Marguerite Audoux;Poste Adulte;9;48.863631, 2.3600893
BILIPO;Catalogue;1;48.8465258, 2.3513354
Bibliothèque de l'Ecole Estienne;Poste chercheur;1;48.8307728, 2.3524239
Marguerite Duras;Catalogue;8;48.859817, 2.4032053
Jean-Pierre Melville;Poste Adulte;8;48.8268092, 2.3663928
François Villon;Poste Adulte;5;48.8772091, 2.3708098
Jacqueline de Romilly;Catalogue;2;48.8993441, 2.3361773
Buffon;Poste Adulte;9;48.8419904, 2.3591175
Benjamin Rabier;Poste animation;2;48.8873166, 2.3724595
Italie;Poste Jeunesse;3;48.8308705, 2.3569681
Mortier;Catalogue;1;48.8715798, 2.408439
Assia Djebar;Poste Adulte;10;48.8492765, 2.412011600000028
Vaugirard;Poste Adulte et Jeunesse;2;48.8417004, 2.2993589
André Malraux;Poste Jeunesse;4;48.8478671, 2.3275429
Jean-Pierre Melville;Poste Jeunesse;5;48.8268092, 2.3663928
Italie;Poste Adulte;6;48.8308705, 2.3569681
Parmentier;Poste de passage Adulte;4;48.8591443, 2.3794671
Marguerite Audoux;Poste Jeunesse;1;48.863631, 2.3600893
Assia Djebar;Poste Jeunesse;4;48.8492765, 2.412011600000028
Bibliothèque du Tourisme et des Voyages;Poste chercheur;2;48.8618192, 2.2847432
André Malraux;Poste Adulte;13;48.8478671, 2.3275429
Bibliothèque de la Maison Paris Nature;Catalogue;1;48.830384, 2.450027699999964
Georges Brassens;Poste Adulte;6;48.8350219, 2.3268861
Archives de Paris;Catalogue;4;48.8779551, 2.4057527
Bibliothèque de la Maison de Balzac;Poste chercheur;1;48.8551734, 2.2807446
Benjamin Rabier;Poste de passage Adulte;1;48.8873166, 2.3724595
Hélène Berr;Poste de passage Adulte;4;48.8425318, 2.3974589
Edmond Rostand;Poste Adulte;10;48.8883086, 2.3027261
Jacqueline de Romilly;Poste Adulte et Jeunesse;2;48.8993441, 2.3361773
Hergé;Poste Adulte;5;48.8848773, 2.3674171
Bibliothèque Marguerite Durand;Poste chercheur;2;48.8268092, 2.3663928
Françoise Sagan;Poste Adulte;24;48.875818, 2.353533
Saint-Eloi;Poste Jeunesse;1;48.8455293, 2.3871246
Aimé Césaire;Poste de passage Adulte;3;48.8320357, 2.310555
